category,name,slug,description,unit,price,old_price,product_url,image_url_original,image_url_local,is_active,sort_order
"Бургеры","Рокки","rokki","Пшеничная булочка, соус чесночный и сырный, сочная котлета из говядины, сыр чеддер, сырные палочки моцарелла, салат, помидор, красный лук.","1 шт.","450","","https://juikaifui.ru/shelkogo/tovary/rokki","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/9ee11595d6a03ba1714698bbfc79beea.jpg?v1778735189","/assets/products/burgers/rokki.webp","true","1"
"Бургеры","Себастиан","sebastian","Пшеничная булочка, соус цезарь, салат, помидор, красный лук, королевские креветки.","1 шт.","430","","https://juikaifui.ru/shelkogo/tovary/sebastian","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/9c8e3ba61beb43178821ce103e733993.jpg?v1779372419","/assets/products/burgers/sebastian.webp","true","2"
"Бургеры","Бургер КантриГранд сочная котлета из говядины","kantrigrand","Пшеничная булочка, соус барбекю и кетчуп, сочная говяжья котлета, сыр чеддер, свежий салат, помидор и маринованный огурец.","1 шт.","390","","https://juikaifui.ru/shelkogo/tovary/kantrigrand","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/fd415f623ba24372034722917421de24.jpg?v1778735473","/assets/products/burgers/kantrigrand.webp","true","3"
"Бургеры","Борак Абама","borak-abama","Черная булочка, фирменный соус барбекю, лист салата, свежий помидор, маринованный огурец, красный лук, сочная котлета из говядины, сыр чеддер.","1 шт.","430","","https://juikaifui.ru/shelkogo/tovary/borak-abama","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/e768460abeeb33ddfeb8a02477f379e7.jpg?v1778735218","/assets/products/burgers/borak-abama.webp","true","4"
"Бургеры","Бургер Воин Дракона с сочной говядиной","voin-drakona","Пшеничная булочка, соус фирменный чесночный, салат, лук фри, свежий помидор, сочная котлета из говядины, сыр чеддер.","1 шт.","390","","https://juikaifui.ru/shelkogo/tovary/voin-drakona","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/67ebae353506d66947af52e33f93dadd.jpg?v1778735357","/assets/products/burgers/voin-drakona.webp","true","5"
"Бургеры","Бургер КантриБиф с котлетой из говядины","kantribif","Пшеничная булочка, соус медовая-горчица и кетчуп, салат, помидор, маринованный огурец, красный лук, сочная котлета из говядины, сыр чеддер.","1 шт.","390","","https://juikaifui.ru/shelkogo/tovary/kantribif","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/c84ed0216734aa753a23654a2da13ac3.jpg?v1778735317","/assets/products/burgers/kantribif.webp","true","6"
"Бургеры","Бургер Тайсон с сочной котлетой из говядины и жареным беконом","tayson","Пшеничная булочка, фирменный соус тейсти, сочная котлета из говядины, помидор, маринованный огурец, салат, жареный бекон, сыр чеддер.","1 шт.","430","","https://juikaifui.ru/shelkogo/tovary/tayson","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/19138a9a851f55a0ef6cdb19b0ca7838.jpg?v1779372462","/assets/products/burgers/tayson.webp","true","7"
"Шаурма","Фирменная Шаурма","firmennaya-shaurma","Состав: Лаваш тандырный, Фирменный соус барбекю, Сочная курочка, картошка фри, бекон жареный, Маринованный огурец, красный лук, свежий помидор, Сырные палочки.","1 шт.","550","","https://juikaifui.ru/shelkogo/shaurma/firmennaya-shaurma","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/cdb1115d869f7f256ac6e8773c59cf6f.jpg?v1763196706","/assets/products/shaurma/firmennaya-shaurma.webp","true","8"
"Шаурма","Шаурма в лепешке с запеченной говядиной","shaurma-v-lepeshke-s-zapechennoy-govyadinoy","Состав: Тандырная лепешка, Фирменный чесночный соус, Говядина запеченная, Свежие овощи: капуста, помидор, огурец, красный лук, Фирменный чесночный соус.","1 ед.","460","","https://juikaifui.ru/shelkogo/shaurma/shaurma-v-lepeshke-s-zapechennoy-govyadinoy","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/6251e050a3526146c60d04a3372135f8.jpg?v1779086809","/assets/products/shaurma/shaurma-v-lepeshke-s-zapechennoy-govyadinoy.webp","true","9"
"Шаурма","Шаурма в лепешке с запеченной свининой","shaurma-v-lepeshke-s-zapechennoy-svininoy","Состав: Тандырная лепешка, Соус фирменный чесночный, Свинина запеченная, Свежие овощи: капуста, помидор, огурец, красный лук.","1 ед.","390","","https://juikaifui.ru/shelkogo/shaurma/shaurma-v-lepeshke-s-zapechennoy-svininoy","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/b723101e23ddb986cf62fbb6991d4d07.jpg?v1779086718","/assets/products/shaurma/shaurma-v-lepeshke-s-zapechennoy-svininoy.webp","true","10"
"Шаурма","Шаурма в лепешке с сочной курочкой","shaurma-v-lepeshke-s-sochnoy-kurochkoy","Состав: Тандырная лепешка, Фирменный чесночный соус, Сочная курочка, Свежие овощи: капуста, помидор, огурец, красный лук","1 ед.","290","","https://juikaifui.ru/shelkogo/shaurma/shaurma-v-lepeshke-s-sochnoy-kurochkoy","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/5c02c063fa144d26adf9c3cf453a2559.jpg?v1779086893","/assets/products/shaurma/shaurma-v-lepeshke-s-sochnoy-kurochkoy.webp","true","11"
"Шаурма","Шаурма с Королевской креветкой в панировке","shaurma-s-korolevskoy-krevetkoy-v-panirovke","Состав: Тандырный лаваш, Соус Цезарь, Королевские креветки, Свежие овощи: капуста, помидор, красный лук","300 г.","410","","https://juikaifui.ru/shelkogo/shaurma/shaurma-s-korolevskoy-krevetkoy-v-panirovke","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/f4e95711fe5291177ff18b9326973a7e.jpg?v1741321465","/assets/products/shaurma/shaurma-s-korolevskoy-krevetkoy-v-panirovke.webp","true","12"
"Шаурма","Шаурма с запеченной говядиной","shaurma-s-zapechennoy-govyadinoy","Состав: Лаваш тандырный, Соус фирменный чесночный, Говядина запеченная, Свежие овощи: капуста, помидор, огурец, красный лук","370 г.","410","","https://juikaifui.ru/shelkogo/shaurma/shaurma-s-zapechennoy-govyadinoy","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/b5b1e8fc0148c9368fcd5df7eb457426.jpg?v1739993876","/assets/products/shaurma/shaurma-s-zapechennoy-govyadinoy.webp","true","13"
"Шаурма","Шаурма с запеченной свининой","shaurma-s-zapechennoy-svininoy","Состав: Лаваш тандырный, Соус фирменный чесночный, Свинина запеченная, Свежие овощи: капуста, помидор, огурец, красный лук","370 г.","350","","https://juikaifui.ru/shelkogo/shaurma/shaurma-s-zapechennoy-svininoy","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/00b968dbb7bb8feb688765855b4b68da.jpg?v1737960157","/assets/products/shaurma/shaurma-s-zapechennoy-svininoy.webp","true","14"
"Шаурма","Шаурма куриная","shaurma-kurinaya","Состав: Лаваш тандырный, Соус фирменный чесночный, Сочная курочка, Свежие овощи: капуста, помидор, огурец, красный лук","1 шт.","240","","https://juikaifui.ru/shelkogo/shaurma/shaurma-kurinaya","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/ff5dafc062f6a1dcf0820c6dcf202d15.jpg?v1739993832","/assets/products/shaurma/shaurma-kurinaya.webp","true","15"
"Хот-Доги","Хот-Дог Барбекю","hot-dog-barbekyu","Состав: Пшеничная булочка, Колбаска из свинины, Свежие овощи: лист салата, помидор, Маринованный огурец, Фирменный соус барбекю, Лук фри","1 шт.","260","","https://juikaifui.ru/shelkogo/hot-dogi/hot-dog-barbekyu","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/e2a80fe3eeebbefd83ae8f79e9b2cd4a.jpg?v1779087083","/assets/products/hotdogs/hot-dog-barbekyu.webp","true","16"
"Хот-Доги","Хот-Дог Итали","hot-dog-itali","Состав: Пшеничная булочка, Колбаска из свинины, Лист салата, сыр чеддер, Сырный соус, Лук фри","1 шт.","280","","https://juikaifui.ru/shelkogo/hot-dogi/hot-dog-itali","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/0494c43a7d366779677b787e78a606cf.jpg?v1779087207","/assets/products/hotdogs/hot-dog-itali.webp","true","17"
"Хот-Доги","Хот-Дог Датский","hot-dog-datskiy","Состав: Пшеничная булочка, Колбаска из свинины, Лист салата, маринованный огурец, Соусы: кетчуп, медово-горчичный, Лук фри","1 шт.","250","","https://juikaifui.ru/shelkogo/hot-dogi/hot-dog-datskiy","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/46613ba3549526a17d12bbb55498b3a1.jpg?v1779086976","/assets/products/hotdogs/hot-dog-datskiy.webp","true","18"
"Боксы","АйдахоБокс","aydahoboks","Состав: Картофель по-деревенски, Сочная курочка, Жареный бекон, Лук фри, Сырный соус","1 шт.","310","349","https://juikaifui.ru/shelkogo/boksy/aydahoboks","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/9db53dd5eac59718485fc9784c193b37.jpg?v1779372549","/assets/products/boxes/aydahoboks.webp","true","19"
"Боксы","БоксФуд","boksfud","Состав: Картофель фри, Сочная курочка, Маринованный огурец, Лук фри, Фирменный чесночный соус","1 шт.","300","","https://juikaifui.ru/shelkogo/boksy/boksfud","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/99885ecc96f022479b8afe2e25dcb91f.jpg?v1779372566","/assets/products/boxes/boksfud.webp","true","20"
"Горячие закуски","Креветки в панировке (королевские)","krevetki-v-panirovke-korolevskie","Попробуйте наши королевские креветки в панировке! Это идеальный снек для большой компании.","6 шт.","390","","https://juikaifui.ru/shelkogo/sneki/krevetki-v-panirovke-korolevskie","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/f3399bd47e9bc656af8449aa5cbd0d4d.jpg?v1733066425","/assets/products/snacks/krevetki-v-panirovke-korolevskie.webp","true","21"
"Горячие закуски","Наггетсы","naggetsy-6-sht","Хрустящие кусочки нежного филе в золотистой панировке. Идеальный перекус!","6 ед.","210","239","https://juikaifui.ru/shelkogo/sneki/naggetsy-6-sht","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/6effc417f9b4776ec5ed0d1171572c20.jpg?v1726404752","/assets/products/snacks/naggetsy-6-sht.webp","true","22"
"Горячие закуски","Сырные палочки","syrnye-palochki-12-sht","Сырные палочки — отличный вариант для любителей сыра. Это аппетитный снек из сыра моцарелла. Заказывайте сырные палочки и наслаждайтесь их изысканным вкусом!","6 шт.","320","","https://juikaifui.ru/shelkogo/sneki/syrnye-palochki-12-sht","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/82702bea78efc2894a655b9181f2bb07.jpg?v1724668586","/assets/products/snacks/syrnye-palochki-12-sht.webp","true","23"
"Горячие закуски","Картофель по деревенски","kartofel-po-derevenski","Хрустящий картофель с мягкой сердцевиной — отличное решение для перекуса. Он подаётся горячим и хорошо сочетается с различными соусами. Это простое, но вкусное блюдо, которое идеально подходит для уютного вечера.","150 г.","260","","https://juikaifui.ru/shelkogo/sneki/kartofel-po-derevenski","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/6f366cc3f2a488b54e5ba609f5ccc376.jpg?v1723973567","/assets/products/snacks/kartofel-po-derevenski.webp","true","24"
"Горячие закуски","Картошка фри","kartoshka-fri-200-gr","Картофель фри — идеальный выбор для любителей снеков. Хрустящий и аппетитный, он станет отличным дополнением к вашему заказу.","150 г.","210","239","https://juikaifui.ru/shelkogo/sneki/kartoshka-fri-200-gr","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/c505cec547bc5923b46809aba9e32a6e.jpg?v1720706946","/assets/products/snacks/kartoshka-fri-200-gr.webp","true","25"
"Горячие закуски","Крылышки куриные Барбекю","krylyshki-barbekyu-16-sht","Это блюдо придётся по вкусу тем, кто любит мясо птицы, оно отлично подойдёт в качестве закуски., Нежные куриные крылья дополнены фирменным соусом барбекю. Мясо птицы получается сочным и ароматным., Это блюдо порадует вас насыщенным вкусом и станет отличным выбором для компании!","8 шт.","370","","https://juikaifui.ru/shelkogo/sneki/krylyshki-barbekyu-16-sht","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/454f994b2a68984ca343b608e5578a64.jpg?v1720698310","/assets/products/snacks/krylyshki-barbekyu-16-sht.webp","true","26"
"Напитки","Добрый Апельсин 1 л","dobryy-apelsin-1-l","Апельсин","1 л.","140","","https://juikaifui.ru/shelkogo/kompot/dobryy-apelsin-1-l","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/d5c29642d574f68ba0715855a9ff3ab0.jpg?v1774964312","/assets/products/drinks/dobryy-apelsin-1-l.webp","true","27"
"Напитки","Добрый Кола 1 л","dobryy-kola-1-l","Кола","1 л.","140","","https://juikaifui.ru/shelkogo/kompot/dobryy-kola-1-l","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/0f4b77a848e550e78ebbb278c3eb0f40.jpg?v1774964111","/assets/products/drinks/dobryy-kola-1-l.webp","true","28"
"Напитки","Добрый Кола 1 л без сахара","dobryy-kola-1-l-bez-sahara","Кола без сахара","1 л.","140","","https://juikaifui.ru/shelkogo/kompot/dobryy-kola-1-l-bez-sahara","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/620d99356bd5c0a0d358d5e075edb629.jpg?v1774963799","/assets/products/drinks/dobryy-kola-1-l-bez-sahara.webp","true","29"
"Напитки","Добрый Кола 0,5 без сахара","dobryy-kola-0-5-bez-sahara","Кола без сахара","500 мл.","100","","https://juikaifui.ru/shelkogo/kompot/dobryy-kola-0-5-bez-sahara","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/0671ae4fd6dfe71845a32c4195c6df7a.jpg?v1774963420","/assets/products/drinks/dobryy-kola-0-5-bez-sahara.webp","true","30"
"Напитки","Добрый Кола 0,5","dobryy-kola-0-5","Кола","500 мл.","100","","https://juikaifui.ru/shelkogo/kompot/dobryy-kola-0-5","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/361b64a0ced67d0216c8b25ff15563ba.jpg?v1774963297","/assets/products/drinks/dobryy-kola-0-5.webp","true","31"
"Напитки","Добрый Апельсин 0,5","dobryy-apelsin-0-5","Апельсин","500 мл.","100","","https://juikaifui.ru/shelkogo/kompot/dobryy-apelsin-0-5","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/31bc4ffb2b022757297376aae14784c4.jpg?v1774963115","/assets/products/drinks/dobryy-apelsin-0-5.webp","true","32"
"Напитки","Добрый Апельсин жб 0,33л","dobryy-apelsin-zhb-0-33l","Апельсин","300 мл.","90","","https://juikaifui.ru/shelkogo/kompot/dobryy-apelsin-zhb-0-33l","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/ef9754cad45c616c08c69ab0f11ff638.jpg?v1774962848","/assets/products/drinks/dobryy-apelsin-zhb-0-33l.webp","true","33"
"Напитки","Добрый Кола жб 0,33л (без сахара)","dobryy-kola-zhb-0-33l-bez-sahara","Кола без сахара","300 мл.","90","","https://juikaifui.ru/shelkogo/kompot/dobryy-kola-zhb-0-33l-bez-sahara","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/cbe5ee80b67b4dbc8be3e46736c05a82.jpg?v1774962514","/assets/products/drinks/dobryy-kola-zhb-0-33l-bez-sahara.webp","true","34"
"Соусы","Кетчуп","ketchup","Густой, ароматный, приготовленный из отборных спелых томатов. Этот соус обладает ярким, сладковато-пряным томатным вкусом с лёгкой кислинкой и пикантностью. Он способен сделать любое кулинарное творение более выразительным и запоминающимся. Кетчуп станет отличным дополнением к мясным и рыбным блюдам, пасте, гарнирам и закускам.","25 г.","40","","https://juikaifui.ru/shelkogo/sousa/ketchup","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/2027ed92b0aa8ca657cf49dd48a7ac7d.jpg?v1731558277","/assets/products/sauces/ketchup.webp","true","35"
"Соусы","Сырный соус","syrnyy","Сырный соус – это настоящая находка для любителей сыра. Нежный и ароматный, он станет идеальным дополнением к любому блюду.","25 г.","40","","https://juikaifui.ru/shelkogo/sousa/syrnyy","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/6a1d82e235db3eae0d860bf9b5bc2395.jpg?v1724667036","/assets/products/sauces/syrnyy.webp","true","36"
"Соусы","Фирменный Чесночный соус","chesnochnyy","Соус – это душа блюда. Он способен придать изысканность и неповторимость даже самым простым продуктам. Наш фирменный соус, приготовленный на основе майонеза с добавлением чеснока, заставит заиграть новыми красками любое блюдо.","25 г.","40","","https://juikaifui.ru/shelkogo/sousa/chesnochnyy","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/6fdef5446a1b2f108f7292be693fd17b.jpg?v1723134152","/assets/products/sauces/chesnochnyy.webp","true","37"
"Соусы","Соус Медовая Горчица","medovaya-gorchica","Соус с богатым и насыщенным вкусом, в котором сладость переплетается с малой остротой и лёгкой горчинкой. Идеально подходит для мясных блюд и птицы, а также в качестве заправки для салатов.","25 г.","40","","https://juikaifui.ru/shelkogo/sousa/medovaya-gorchica","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/441dfb7626baaeacc80dbe10ea17ec7d.jpg?v1723134030","/assets/products/sauces/medovaya-gorchica.webp","true","38"
"Соусы","Соус Барбекю фирменный","barbekyu","Наш фирменный соус барбекю - густой, ароматный, пряный, идеально подойдёт к мясу. В его насыщенном вкусе чувствуется приятная сладость и пикантность базилика. Соус станет отличным дополнением к мясным блюдам, придавая им особый вкус и аромат.","25 г.","40","","https://juikaifui.ru/shelkogo/sousa/barbekyu","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/a469ee24d1fc7fada2e0b86a284b4954.jpg?v1723133978","/assets/products/sauces/barbekyu.webp","true","39"
"Соусы","Фирменный соус Тейсти","teysti","Наш фирменный соус тейсти - идеальный баланс сливочности и пикантных трав. Раскроет вкус картошки, наггетсов и бургеров. Попробуйте, чтобы узнать его магию!","25 г.","40","","https://juikaifui.ru/shelkogo/sousa/teysti","https://cdn.foodsoul.ru/zones/ru/branches/13028/images/items/large/e76afc36814ca795b6e94723baa7ca1f.jpg?v1723133669","/assets/products/sauces/teysti.webp","true","40"
